row_type	K	component	cv_error	delta_cv	pct_improvement	delta2_cv	mean_q_max	median_q_max	qmax_p10	qmax_p25	qmax_p75	qmax_p90	mean_h_norm	median_h_norm	mean_k_eff	median_k_eff	adjacent_mean_parent_corr	adjacent_dominant_nmi	adjacent_dominant_preserved_frac	k_cv_min	k_elbow	k_broad_default	k_fine_default	component_mass_mean_q	component_n_q_ge_0_5	component_n_q_ge_0_2	component_rank_within_k	component_embedding_separability	k_rank	is_broad_or_fine_default	embedding_nmi_max
k_summary	2		0.6957				0.8526325534779358	0.880838	0.7111504000000001	0.83243	0.904574	0.9509932	0.5449969491077726	0.5269472534971463	1.3310406618362716	1.2657023596584505	0.8704840778661067	0.7905820397540687	0.9830377794911334	30.0	10.0	8.0	15.0						29	0	-1.0
component	2	1																						0.2064348975317876	133.0	287.0	2.0	0.9030200612358289	29	0	-1.0
component	2	2																						0.7935651024682123	1204.0	1262.0	1.0	0.9030200612358289	29	0	-1.0
k_summary	3		0.68829	0.007410000000000028	1.0651142733937082		0.839131770381451	0.869626	0.6458464	0.813211	0.904054	0.9597792	0.4100717853534059	0.4161411193498706	1.380562950100732	1.3026207049758736	0.9272076770755943	1.0	1.0	30.0	10.0	8.0	15.0						5	0	-1.0
component	3	1																						0.1387828197456993	111.0	237.0	2.0	0.9934776837564294	5	0	-1.0
component	3	2																						0.09467950635751683	40.0	122.0	3.0	0.9795723195723195	5	0	-1.0
component	3	3																						0.7665376963350785	1186.0	1241.0	1.0	0.9134797716554977	5	0	-1.0
k_summary	4		0.68388	0.004409999999999914	0.6407183018785562	-0.0030000000000001137	0.7954905168287211	0.809629	0.6156777999999999	0.73207	0.879308	0.943313	0.4162649237011029	0.4530959917424922	1.5200985696032698	1.4785601749606883	0.9871183303273615	0.9911625976739087	0.9992464204973625	30.0	10.0	8.0	15.0						8	0	-1.0
component	4	1																						0.7027777404637248	1121.0	1221.0	1.0	0.8636714654854188	8	0	-1.0
component	4	2																						0.12883789454001496	62.0	220.0	3.0	0.930349203187251	8	0	-1.0
component	4	3																						0.033932994016454755	20.0	24.0	4.0	0.9924098398432999	8	0	-1.0
component	4	4																						0.13445138967838444	111.0	236.0	2.0	0.9934776837564294	8	0	-1.0
k_summary	5		0.68046	0.0034200000000000896	0.5000877346903096	-0.0009899999999998244	0.781262401645475	0.798837	0.5702223999999999	0.730423	0.862765	0.9336042	0.40987616668707494	0.42892248190702104	1.595859045553886	1.5239305876095088	0.9797102258404659	0.9852640512224126	0.9984813971146546	30.0	10.0	8.0	15.0						4	0	-1.0
component	5	1																						0.05392716080777862	10.0	61.0	4.0		4	0	-1.0
component	5	2																						0.12027204338070306	58.0	202.0	2.0	0.9292081673306773	4	0	-1.0
component	5	3																						0.10411391548242335	101.0	190.0	3.0	0.9890769883766488	4	0	-1.0
component	5	4																						0.688069545250561	1094.0	1208.0	1.0	0.8619132059800665	4	0	-1.0
component	5	5																						0.03361734330590875	20.0	24.0	5.0	0.9924098398432999	4	0	-1.0
k_summary	6		0.6767	0.0037599999999999856	0.5525673808893963	0.00033999999999989594	0.7404114816753927	0.75041	0.5523534	0.646912	0.826815	0.9178548	0.4474465559945233	0.48478207532366413	1.7721946988551782	1.7182702004719899	0.7736991769274476	0.8472153993146935	0.9536679536679536	30.0	10.0	8.0	15.0						15	0	-1.0
component	6	1																						0.1193630875093493	58.0	204.0	2.0	0.9361657370517928	15	0	-1.0
component	6	2																						0.048748233358264774	10.0	60.0	5.0		15	0	-1.0
component	6	3																						0.06393514659685864	20.0	63.0	4.0	0.9255890655605483	15	0	-1.0
component	6	4																						0.10380817801047121	101.0	191.0	3.0	0.9890769883766488	15	0	-1.0
component	6	5																						0.03355285639491398	20.0	24.0	6.0	0.9924098398432999	15	0	-1.0
