row_type	K	component	cv_error	delta_cv	pct_improvement	delta2_cv	mean_q_max	median_q_max	qmax_p10	qmax_p25	qmax_p75	qmax_p90	mean_h_norm	median_h_norm	mean_k_eff	median_k_eff	adjacent_mean_parent_corr	adjacent_dominant_nmi	adjacent_dominant_preserved_frac	k_cv_min	k_elbow	k_broad_default	k_fine_default	component_mass_mean_q	component_n_q_ge_0_5	component_n_q_ge_0_2	component_rank_within_k	component_embedding_separability	k_rank	is_broad_or_fine_default	embedding_nmi_max
k_summary	2		0.6957				0.8526325534779358	0.880838	0.7111504000000001	0.83243	0.904574	0.9509932	0.5449969491077726	0.5269472534971463	1.3310406618362716	1.2657023596584505	0.8704840778661067	0.7905820397540687	0.9830377794911334	30.0	10.0	8.0	15.0						29	0	-1.0
component	2	1.0																						0.2064348975317876	133.0	287.0	2.0	0.9098136178789706	29	0	-1.0
component	2	2.0																						0.7935651024682123	1204.0	1262.0	1.0	0.9098136178789706	29	0	-1.0
k_summary	3		0.68829	0.00741	1.0651142733937082		0.839131770381451	0.869626	0.6458464	0.813211	0.904054	0.9597792	0.4100717853534059	0.4161411193498706	1.380562950100732	1.3026207049758736	0.9272076770755944	1.0	1.0	30.0	10.0	8.0	15.0						5	0	-1.0
component	3	1.0																						0.1387828197456993	111.0	237.0	2.0	0.8978505814742748	5	0	-1.0
component	3	2.0																						0.0946795063575168	40.0	122.0	3.0	0.8959117909117909	5	0	-1.0
component	3	3.0																						0.7665376963350785	1186.0	1241.0	1.0	0.8270850733106636	5	0	-1.0
k_summary	4		0.68388	0.0044099999999999	0.6407183018785562	-0.0030000000000001	0.7954905168287211	0.809629	0.6156777999999999	0.73207	0.879308	0.943313	0.4162649237011029	0.4530959917424922	1.5200985696032698	1.4785601749606885	0.9871183303273616	0.9911625976739088	0.9992464204973625	30.0	10.0	8.0	15.0						8	0	-1.0
component	4	1.0																						0.7027777404637248	1121.0	1221.0	1.0	0.6886624215577705	8	0	-1.0
component	4	2.0																						0.1288378945400149	62.0	220.0	3.0	0.9078916334661354	8	0	-1.0
component	4	3.0																						0.0339329940164547	20.0	24.0	4.0	0.9498862196105542	8	0	-1.0
component	4	4.0																						0.1344513896783844	111.0	236.0	2.0	0.8978505814742748	8	0	-1.0
k_summary	5		0.68046	0.00342	0.5000877346903096	-0.0009899999999998	0.781262401645475	0.798837	0.5702223999999999	0.730423	0.862765	0.9336042	0.4098761666870749	0.428922481907021	1.595859045553886	1.5239305876095088	0.979710225840466	0.9852640512224126	0.9984813971146546	30.0	10.0	8.0	15.0						4	0	-1.0
component	5	1.0																						0.0539271608077786	10.0	61.0	4.0		4	0	-1.0
component	5	2.0																						0.120272043380703	58.0	202.0	2.0	0.9079681274900399	4	0	-1.0
component	5	3.0																						0.1041139154824233	101.0	190.0	3.0	0.9526691262896694	4	0	-1.0
component	5	4.0																						0.688069545250561	1094.0	1208.0	1.0	0.6875400055370985	4	0	-1.0
component	5	5.0																						0.0336173433059087	20.0	24.0	5.0	0.9498862196105542	4	0	-1.0
k_summary	6		0.6767	0.0037599999999999	0.5525673808893963	0.0003399999999998	0.7404114816753927	0.75041	0.5523534	0.646912	0.826815	0.9178548	0.4474465559945233	0.4847820753236641	1.7721946988551782	1.71827020047199	0.7736991769274476	0.8472153993146935	0.9536679536679536	30.0	10.0	8.0	15.0						15	0	-1.0
component	6	1.0																						0.1193630875093493	58.0	204.0	2.0	0.9082294820717131	15	0	-1.0
component	6	2.0																						0.0487482333582647	10.0	60.0	5.0		15	0	-1.0
component	6	3.0																						0.0639351465968586	20.0	63.0	4.0	0.8667401198294735	15	0	-1.0
component	6	4.0																						0.1038081780104712	101.0	191.0	3.0	0.9526691262896694	15	0	-1.0
component	6	5.0																						0.0335528563949139	20.0	24.0	6.0	0.9498862196105542	15	0	-1.0
component	6	6.0																						0.630592477935677	1057.0	1187.0	1.0	0.6562429435395642	15	0	-1.0
k_summary	7		0.67322	0.0034799999999999	0.5142603812619961	-0.00028	0.6622148152580404	0.638861	0.4670614	0.535968	0.775216	0.9023934000000003	0.5148765274138656	0.5791323949131683	2.193877757525856	2.1986254411871724	0.7949473052130701	0.7823165622377648	0.9342004590665648	30.0	10.0	8.0	15.0						26	0	-1.0
component	7	1.0																						0.0520353777112939	20.0	56.0	6.0	0.8667401198294735	26	0	-1.0
component	7	2.0																						0.512678249065071	823.0	1154.0	1.0	0.758032033972628	26	0	-1.0
component	7	3.0																						0.0566677958115183	36.0	49.0	5.0	0.9552123552123553	26	0	-1.0
component	7	4.0																						0.1243690560957367	111.0	235.0	3.0	0.9111670611769608	26	0	-1.0
component	7	5.0																						0.1323924554973822	40.0	164.0	2.0	0.9070908820908823	26	0	-1.0
component	7	6.0																						0.0887244076290201	48.0	115.0	4.0	0.9088812749003985	26	0	-1.0
component	7	7.0																						0.0331326379955123	20.0	24.0	7.0	0.9498862196105542	26	0	-1.0
k_summary	8		0.67036	0.00286	0.42482398027392	-0.0006199999999998	0.7011285400149588	0.70129	0.5067038	0.589035	0.796441	0.8940848000000001	0.4551576154242743	0.4890813634957011	1.970986518312991	1.9224864540959496	0.8096801387816781	0.8067930044629317	0.9231962761830876	30.0	10.0	8.0	15.0						1	1	0.37167246078733296
component	8	1.0																						0.0469925317875841	30.0	70.0	6.0	0.9192784650931533	1	1	0.37167246078733296
component	8	2.0																						0.0829535115931189	73.0	136.0	3.0	0.8959764638633765	1	1	0.37167246078733296
component	8	3.0																						0.5771510209424083	973.0	1161.0	1.0	0.7225059756627552	1	1	0.37167246078733296
component	8	4.0																						0.0586086327599102	34.0	49.0	4.0	0.9545441045441045	1	1	0.37167246078733296
component	8	5.0																						0.0417311937172774	10.0	52.0	7.0		1	1	0.37167246078733296
component	8	6.0																						0.0533235639491398	20.0	56.0	5.0	0.8667401198294735	1	1	0.37167246078733296
component	8	7.0																						0.0322537808526551	20.0	24.0	8.0	0.9498862196105542	1	1	0.37167246078733296
component	8	8.0																						0.1069857629020194	56.0	183.0	2.0	0.9082294820717131	1	1	0.37167246078733296
k_summary	9		0.66667	0.0036899999999999	0.5504505042066906	0.0008299999999998	0.6307008249813014	0.604614	0.4270488	0.499668	0.72581	0.9570786	0.5150311581142589	0.5780712911042966	2.4454395054490243	2.441710009658053	0.8306291651306998	0.8355293187401944	0.9198149575944488	30.0	10.0	8.0	15.0						27	0	-1.0
component	9	1.0																						0.0492601720269259	20.0	53.0	7.0	0.8667401198294735	27	0	-1.0
component	9	2.0																						0.0512751847419596	33.0	48.0	6.0	0.9548708048708049	27	0	-1.0
