method	method_slug	K	ari	nmi	local_purity_dominant	local_purity_metadata	logistic_separability	embedding_method_rank
UMAP	umap	8	0.0746922498112013	0.3379083765269	0.9407629020194466	0.5164298180004986	0.9034025631253494	2
UMAP	umap	15	0.0866656738021539	0.48393556698929924	0.8876090750436301	0.5164298180004986	0.8948233741579661	2
PaCMAP	pacmap	8	0.034756707653608804	0.24764623206990524	0.930840189478933	0.512440787833458	0.8779246474133001	6
PaCMAP	pacmap	15	0.08121168775622299	0.4515423495870547	0.88735976065819	0.512440787833458	0.8692522693927176	6
t-SNE	tsne	8	0.07381903733534372	0.33010461607866226	0.974520069808028	0.525006232859636	0.9462937907104754	4
t-SNE	tsne	15	0.10256938039232513	0.4976186874539222	0.9535776614310646	0.525006232859636	0.9109146613358904	4
TriMAP	trimap	8	0.07995536935383189	0.317327987089845	0.843729743206183	0.23829468960359013	0.7002120519027918	5
TriMAP	trimap	15	0.08976439159467621	0.4446086780170372	0.7239092495636998	0.23829468960359013	0.735632321584733	5
PHATE	phate	8	0.07107822377550607	0.3375087875687242	0.9529294440289204	0.4480678135128397	0.8273328977315602	3
PHATE	phate	15	0.10775433058611356	0.5024591436658207	0.9091498379456495	0.4480678135128397	0.8215069453135734	3
PhyloAE	phyloae	8	0.19878711542300706	0.4086835682287609	0.9470456245325355	0.512590376464722	0.889350382667499	1
PhyloAE	phyloae	15	0.13936974397860985	0.5237127780598996	0.9225130890052357	0.512590376464722	0.8906254958286524	1
